,address,categories,city,country,latitude,longitude,name,postalCode,state
2722,1107 E Ennis Ave,Fast Food Restaurants,Ennis,US,32.333552,-96.616592,Taco Bell,75119,Texas
2723,1107 E Ennis Ave,Fast Food Restaurant and Mexican Restaurant,Ennis,US,32.333552,-96.616592,Taco Bell,75119,Texas
2724,91 S Americas Ave,Fast Food Restaurants,El Paso,US,31.680665,-106.313785,Taco Bell,79907,Texas
2725,9159 Dyer St,Fast Food Restaurants,El Paso,US,31.872382,-106.426598,Taco Bell,79924,Texas
2726,6000 N Mesa St,Fast Food Restaurants,El Paso,US,31.829729,-106.527944,Taco Bell,79912,Texas
2727,1401 S Dumas Ave,Mexican Restaurant and Fast Food Restaurant,Dumas,US,35.850968,-101.973341,Taco Bell,79029,Texas
2728,1955 S Buckner Blvd,Fast Food Restaurant,Dallas,US,32.746076,-96.683491,Taco Bell,75217,Texas
2729,2245 W Northwest Hwy,Fast Food Restaurant and Mexican Restaurant,Dallas,US,32.863738,-96.895962,Taco Bell,75220,Texas
2730,1810 Veterans Blvd,Mexican / Fast Food,Del Rio,US,29.380648,-100.904813,Taco Bell,78840,Texas
2731,11829 Abrams Rd,Fast Food Restaurants,Dallas,US,32.91046,-96.735539,Taco Bell,75243,Texas
2732,5530 Everhart Rd,"Fast Food Restaurant, Mexican Restaurant, and Taco Place South Side",Corpus Christi,US,27.707568,-97.388725,Taco Bell,78411,Texas
2733,1217 Waldron Rd,Fast Food Restaurants,Corpus Christi,US,27.666015,-97.283857,Taco Bell,78418,Texas
2734,1963 N Trade Days Blvd,Fast Food Restaurant,Canton,US,32.576285,-95.855334,Taco Bell,75103,Texas
2735,6105 Eastex Fwy,Fast Food Restaurant and Mexican Restaurant,Beaumont,US,30.127462,-94.15964,Taco Bell,77706,Texas
2736,7211 Burnet Rd,Fast Food,Austin,US,30.348699,-97.735013,Taco Bell,78757,Texas
2737,1595 Highway 23 NW,Fast Food Restaurants,Suwanee,US,34.099706,-83.98581,Krystal,30024,Georgia
2738,802 SE Oralabor Rd,Fast Food Restaurant,Ankeny,US,41.702893,-93.585974,Maid-rite,50021,Iowa
2739,1423 Somerset Ave,Fast Food Restaurants,Taunton,US,41.86183,-71.11381,Frates Drive-In,2780,Massachusetts
2740,2223 Lawrenceville Hwy,Fast Food Restaurant,Decatur,US,33.812335,-84.270735,Krystal,30033,Georgia
2741,8855 N County Road 25a,Fast Food Restaurants,Piqua,US,40.165762,-84.225825,Maid-rite,45356,Ohio
2742,725 Donald Lee Hollowell Pkwy NW,Fast Food Restaurant English Avenue,Atlanta,US,33.773066,-84.410852,Krystal,30318,Georgia
2743,3650 Riverside Dr,Fast Food,Macon,US,32.900154,-83.686514,Krystal,31210,Georgia
2744,6225 Zebulon Rd,Fast Food,Macon,US,32.88046,-83.765197,Krystal,31210,Georgia
2745,1123 N 3rd Ave,Fast Food Restaurant,Chatsworth,US,34.789548,-84.773497,Krystal,30705,Georgia
2746,114 Commerce Avenue,Fast Food,LaGrange,US,33.048956,-85.026821,Krystal,30240,Georgia
2747,256 Bobby Jones Expressway,Fast Food,Augusta,US,33.504425,-82.08886,Krystal,30907,Georgia
2748,126 N 6th St,Fast Food Restaurant,Forest City,US,43.263813,-93.639559,Hardee's,50436,Iowa
2749,431 N 62nd St,Fast Food Restaurants,Philadelphia,US,39.969326,-75.243301,Jim's Steaks,19151,Pennsylvania
2750,6630 N Durango Dr,Fast Food Restaurants,Las Vegas,US,36.281264,-115.287687,Panda Express,89149,Nevada
2751,1735 W Craig Rd,Fast Food Restaurant,North Las Vegas,US,36.23897,-115.167099,Panda Express,89032,Nevada
2752,7470 Las Vegas Blvd S,Fast Food Restaurants,Las Vegas,US,36.053819,-115.1722,Panda Express,89123,Nevada
2753,2288 S Nellis Blvd,Fast Food,Las Vegas,US,36.147108,-115.065314,Panda Express,89104,Nevada
2754,7017 Spring Mountain Rd,Fast Food,Las Vegas,US,36.125687,-115.246542,Panda Express,89117,Nevada
2755,1980 S Rainbow Blvd,Fast Food Restaurants,Las Vegas,US,36.149817,-115.24243,Panda Express,89146,Nevada
2756,1623 Main St,Fast Food Restaurants,Agawam,US,42.041006,-72.616314,Panda Express,1001,Massachusetts
2757,7351 Assateague Dr,Fast Food Restaurants,Jessup,US,39.168455,-76.785828,Panda Express,20794,Maryland
2758,7351 Assateague Dr,Fast Food Restaurant,Jessup,US,39.168455,-76.785828,Panda Express,20794,Maryland
2759,1400 O St,Fast Food Restaurant,Lincoln,US,40.813868,-96.700892,Gourmet Grill,68508-3807,Nebraska
2760,205 N Hiatus Rd,Fast Food Restaurants,Hollywood,US,26.010517,-80.295287,Jimmy John's,33026,Florida
2761,225 N Michigan Ave,Fast Food Restaurant,Chicago,US,41.886284,-87.623848,Jimmy John's,60601,Illinois
2762,10701 E Washington St,"American Restaurant, Fast Food Restaurant, and Breakfast Spot Far Eastside",Indianapolis,US,39.775144,-85.976157,Steak 'n Shake,46229,Indiana
2763,4240 Venture Dr,Fast Food Restaurants,Peru,US,41.36156,-89.127309,Steak 'n Shake,61354,Illinois
2764,7561 E State St,Fast Food Restaurant,Rockford,US,42.270418,-88.969172,Steak 'n Shake,61108,Illinois
2765,1580 Wabash Ave,Fast Food Restaurants,Springfield,US,39.764136,-89.679898,Steak 'n Shake,62704,Illinois
2766,194 Main St,Fast Food Restaurants,Woonsocket,US,42.0036,-71.5129,Domino's Pizza,2895,Rhode Island
2767,254 N Broadway,Fast Food Restaurants,Salem,US,42.7943,-71.2363,Domino's Pizza,3079,New Hampshire
2768,518 Us Route 1,Fast Food Restaurants,Kittery,US,43.1294,-70.7054,Domino's Pizza,3904,Maine
2769,6910 Fayetteville Rd Ste 228,Fast Food Restaurant,Durham,US,35.905216,-78.943939,Villa Italian Kitchen,27713,North Carolina
2770,2498 S Figueroa St,Fast Food,Los Angeles,US,34.028772,-118.275138,Jacks N Joe,90007,California
2771,4543 E Kings Canyon Rd,Fast Food Restaurants,Fresno,US,36.736,-119.748,Domino's Pizza,93702,California
2772,2581 E Vineyard Ave,Fast Food Restaurants,Oxnard,US,34.23443,-119.171471,Domino's Pizza,93036,California
2773,548 S State College Blvd,Fast Food Restaurants,Anaheim,US,33.834618,-117.889153,Domino's Pizza,92806,California
2774,469 Magnolia Ave,Fast Food Restaurants,Corona,US,33.8538,-117.563,Domino's Pizza,92879,California
2775,900 Houston Northcutt Blvd,Fast Food Restaurants,Mount Pleasant,US,32.803198,-79.890712,Moe's Southwest Grill,29464,South Carolina
2776,6679 Falls of Neuse Rd,Fast Food Restaurants,Raleigh,US,35.874732,-78.623143,Moe's Southwest Grill,27615,North Carolina
2777,2801 Guess Rd,Fast Food,Durham,US,36.030453,-78.92837,Bojangles' Famous Chicken 'n Biscuits,27705,North Carolina
2778,2801 Guess Rd,Fast Food Restaurants,Durham,US,36.030453,-78.92837,Bojangles' Famous Chicken 'n Biscuits,27705,North Carolina
2779,7141 S Eastern Ave,Fast Food,Las Vegas,US,36.059636,-115.119434,Round Table Pizza,89119,Nevada
2780,17200 Saticoy St,Fast Food,Van Nuys,US,34.207432,-118.508102,Round Table Pizza,91406,California
2781,6140 S Gun Club Rd,Fast Food,Aurora,US,39.604217,-104.716755,Wingstop,80016,Colorado
2782,1566 Larkin Ave,Fast Food Restaurant,Elgin,US,42.034792,-88.315298,Beef Villa,60123,Illinois
2783,14221 E Cedar Ave,Fast Food,Aurora,US,39.712898,-104.823072,Wingstop,80012,Colorado
2784,1648 Decoto Rd,Fast Food,Union City,US,37.589306,-122.020772,Wingstop,94587,California
2785,1838 E Avenue J,Fast Food,Lancaster,US,34.689558,-118.096318,Wingstop,93535,California
2786,1610 N 75th Ave,Fast Food,Phoenix,US,33.46672,-112.220691,Wingstop,85035,Arizona
2787,1221 E Fry Blvd,Fast Food Restaurants,Sierra Vista,US,31.555079,-110.285835,Tanuki Sushi Bar and Garden,85635,Arizona
2788,2184 Warrensville Center Rd,Fast Food Restaurant,Cleveland,US,41.500289,-81.536643,Boston Market,44118,Ohio
2789,1006 Airport Blvd,Fast Food Restaurant,Morrisville,US,35.858536,-78.819245,Waffle House,27560,North Carolina
2790,4403 Cleveland Ave NW,BBQ Joint and Fast Food Restaurant,Canton,US,40.846962,-81.393212,Old Carolina Barbecue Company,44709,Ohio
2791,95 N Main St,Fast Food Restaurant,Springboro,US,39.55912,-84.233349,Penn Station East Coast Subs,45066,Ohio
2792,522 E Vine Ave,Fast Food Restaurants,West Covina,US,34.057426,-117.9355,Flame Broiler,91790,California
2793,875 Johnston Pkwy,Fast Food Restaurant,Kenly,US,35.581006,-78.148047,Waffle House,27542,North Carolina
2794,29835 Us Highway 19 N,Fast Food Restaurants,Clearwater,US,28.043117,-82.738236,Fox's Pizza Den,33761,Florida
2795,246 Long Hollow Pike,Fast Food Restaurants,Goodlettsville,US,36.3248,-86.7026,Domino's Pizza,37072,Tennessee
2796,131 Highway 641 N,Fast Food Restaurants,Camden,US,36.0577,-88.1154,Domino's Pizza,38320,Tennessee
2797,2507 Ocoee St N,Fast Food Restaurants,Cleveland,US,35.17866,-84.86461,Domino's Pizza,37312,Tennessee
2798,720 E Main Blvd,Fast Food Restaurants,Church Hill,US,36.5288,-82.6866,Domino's Pizza,37642,Tennessee
2799,1327 N Germantown Pkwy,Fast Food Restaurants,Memphis,US,35.161167,-89.79509,Domino's Pizza,38108,Tennessee
2800,113 N Earle St,Fast Food Restaurants,Walhalla,US,34.7613,-83.055,Domino's Pizza,29691,South Carolina
2801,429 E Main St,Fast Food Restaurants,Liberty,US,34.790146,-82.68862,Domino's Pizza,29657,South Carolina
2802,3808 Boiling Springs Rd,Fast Food Restaurants,Boiling Springs,US,35.0478,-81.9841,Domino's Pizza,29316,South Carolina
2803,5362 Sunset Blvd,Fast Food Restaurants,Lexington,US,34.0025,-81.2101,Domino's Pizza,29072,South Carolina
2804,55 Mathews Dr,Fast Food Restaurants,Hilton Head Island,US,32.207733,-80.7027,Domino's Pizza,29926,South Carolina
2805,9637 SW Washington Square Rd,Fast Food Restaurants,Portland,US,45.448505,-122.782676,Sbarro,97223,Oregon
2806,4107 S Yale Ave,Fast Food Restaurants,Tulsa,US,36.103904,-95.922094,Sbarro,74135,Oklahoma
2807,486 Great Northern Mall,Fast Food Restaurants,North Olmsted,US,41.418589,-81.909541,Sbarro,44070,Ohio
2808,1201 W Linden St,Fast Food Restaurants,Allentown,US,40.600941,-75.482596,Kow Thai Take Out,18102,Pennsylvania
2809,20649 Rustic Dr,Sushi Restaurant and Fast Food Restaurant,Castro Valley,US,37.69618,-122.07811,iSushi,94546,California
2810,2150 White St,Fast Food Restaurants,York,US,39.961945,-76.770695,Shangri-la Chinese Restaurant,17404,Pennsylvania
